a = 2, b = 3, c = 5, 7797.34
a = 13, b = 61, c = 2, 7968.03
a = 13, b = 61, c = 3, 7786.37
a = 13, b = 61, c = 5, 7803.48
a = 17, b = 2, c = 3, 7897.96
a = 17, b = 2, c = 5, 7968.18
a = 17, b = 2, c = 7, 7582.48
a = 17, b = 2, c = 11, 7687.70
a = 17, b = 2, c = 13, 7619.50
a = 17, b = 2, c = 19, 7820.28
a = 17, b = 2, c = 23, 7663.12
a = 17, b = 2, c = 29, 7785.44
a = 17, b = 2, c = 31, 7643.22
a = 17, b = 2, c = 37, 7878.44
a = 17, b = 2, c = 41, 7931.71
a = 17, b = 2, c = 53, 7682.95
a = 17, b = 2, c = 59, 8042.44
a = 17, b = 2, c = 61, 7602.08
a = 17, b = 3, c = 2, 7613.28
a = 17, b = 3, c = 5, 7613.20
a = 17, b = 3, c = 11, 7564.99
a = 17, b = 3, c = 13, 7723.62
a = 17, b = 3, c = 23, 7861.18
a = 17, b = 3, c = 29, 7818.26
a = 17, b = 3, c = 31, 7937.70
a = 17, b = 3, c = 37, 7628.99
a = 17, b = 3, c = 41, 7852.39
a = 17, b = 3, c = 43, 7650.21
a = 17, b = 3, c = 47, 7631.78
a = 17, b = 3, c = 53, 7582.02
a = 17, b = 3, c = 59, 7920.98
a = 17, b = 3, c = 61, 8003.95
a = 17, b = 5, c = 2, 7809.39
a = 17, b = 5, c = 3, 7985.60
a = 17, b = 5, c = 7, 7551.85
a = 17, b = 5, c = 11, 7496.25
a = 17, b = 5, c = 13, 7943.61
a = 17, b = 5, c = 19, 7656.20
a = 17, b = 5, c = 23, 7965.85
a = 17, b = 5, c = 29, 7753.95
a = 17, b = 5, c = 31, 7813.59
a = 17, b = 5, c = 37, 7836.45
a = 17, b = 5, c = 41, 7818.26
a = 17, b = 5, c = 43, 7849.13
a = 17, b = 5, c = 47, 7621.29
a = 17, b = 5, c = 53, 7638.39
a = 17, b = 5, c = 59, 7655.27
a = 17, b = 5, c = 61, 7721.21
a = 17, b = 7, c = 2, 7915.30
a = 17, b = 7, c = 3, 7818.88
a = 17, b = 7, c = 5, 7839.02
a = 17, b = 7, c = 11, 7362.42
a = 17, b = 7, c = 13, 7750.92
a = 17, b = 7, c = 19, 8003.72
a = 17, b = 7, c = 23, 7625.49
a = 17, b = 7, c = 29, 8060.87
a = 17, b = 7, c = 31, 7626.26
a = 17, b = 7, c = 37, 7639.56
a = 17, b = 7, c = 41, 7731.16
a = 17, b = 7, c = 43, 7998.43
a = 17, b = 7, c = 47, 7619.11
a = 17, b = 7, c = 59, 7925.96
a = 17, b = 7, c = 61, 7994.46
a = 17, b = 11, c = 2, 7862.27
a = 17, b = 11, c = 3, 7854.65
a = 17, b = 11, c = 5, 7866.94
a = 17, b = 11, c = 7, 7591.66
a = 17, b = 11, c = 13, 7876.03
a = 17, b = 11, c = 19, 8007.30
a = 17, b = 11, c = 23, 7928.13
a = 17, b = 11, c = 29, 7951.23
a = 17, b = 11, c = 31, 7754.10
a = 17, b = 11, c = 37, 7624.32
a = 17, b = 11, c = 41, 7646.17
a = 17, b = 11, c = 43, 7835.83
a = 17, b = 11, c = 47, 7688.16
a = 17, b = 11, c = 53, 7806.67
a = 17, b = 11, c = 59, 7883.65
a = 17, b = 11, c = 61, 7940.11
a = 17, b = 13, c = 2, 7810.79
a = 17, b = 13, c = 3, 7894.77
a = 17, b = 13, c = 5, 7915.77
a = 17, b = 13, c = 7, 7841.82
a = 17, b = 13, c = 11, 7750.60
a = 17, b = 13, c = 19, 7476.34
a = 17, b = 13, c = 29, 7767.71
a = 17, b = 13, c = 31, 7838.71
a = 17, b = 13, c = 37, 7634.27
a = 17, b = 13, c = 41, 7720.59
a = 17, b = 13, c = 43, 7650.21
a = 17, b = 13, c = 47, 7741.35
a = 17, b = 13, c = 53, 7841.35
a = 17, b = 13, c = 59, 7327.12
a = 17, b = 13, c = 61, 7514.21
a = 17, b = 19, c = 2, 7512.65
a = 17, b = 19, c = 3, 7809.39
a = 17, b = 19, c = 5, 7980.62
a = 17, b = 19, c = 7, 7671.99
a = 17, b = 19, c = 11, 7615.22
a = 17, b = 19, c = 13, 7793.76
a = 17, b = 19, c = 23, 7598.04
a = 17, b = 19, c = 29, 8050.45
a = 17, b = 19, c = 31, 7874.56
a = 17, b = 19, c = 37, 8035.83
a = 17, b = 19, c = 41, 7658.30
a = 17, b = 19, c = 43, 7962.43
a = 17, b = 19, c = 47, 7499.28
a = 17, b = 19, c = 59, 7691.27
a = 17, b = 19, c = 61, 7583.34
a = 17, b = 23, c = 2, 7790.96
a = 17, b = 23, c = 3, 7880.93
a = 17, b = 23, c = 5, 7758.77
a = 17, b = 23, c = 7, 7708.77
a = 17, b = 23, c = 11, 7651.23
a = 17, b = 23, c = 13, 7822.53
a = 17, b = 23, c = 19, 7649.20
a = 17, b = 23, c = 29, 7985.52
a = 17, b = 23, c = 37, 7625.72
a = 17, b = 23, c = 41, 7741.43
a = 17, b = 23, c = 43, 7603.95
a = 17, b = 23, c = 47, 7669.03
a = 17, b = 23, c = 53, 7639.02
a = 17, b = 23, c = 59, 7806.59
a = 17, b = 23, c = 61, 7723.54
a = 17, b = 29, c = 2, 7850.68
a = 17, b = 29, c = 3, 7903.17
a = 17, b = 29, c = 5, 8055.20
a = 17, b = 29, c = 7, 7932.02
a = 17, b = 29, c = 11, 7635.83
a = 17, b = 29, c = 13, 7896.41
a = 17, b = 29, c = 19, 7972.07
a = 17, b = 29, c = 23, 7782.80
a = 17, b = 29, c = 31, 7789.49
a = 17, b = 29, c = 37, 7879.84
a = 17, b = 29, c = 43, 7769.66
a = 17, b = 31, c = 2, 7782.64
a = 17, b = 31, c = 3, 7931.09
a = 17, b = 31, c = 5, 7696.79
a = 17, b = 31, c = 7, 8002.47
a = 17, b = 31, c = 11, 7900.76
a = 17, b = 31, c = 13, 7673.08
a = 17, b = 31, c = 19, 8005.90
a = 17, b = 31, c = 23, 7660.79
a = 17, b = 31, c = 29, 7783.19
a = 17, b = 31, c = 37, 7999.91
a = 17, b = 31, c = 41, 7542.28
a = 17, b = 31, c = 43, 7658.22
a = 17, b = 31, c = 53, 7902.86
a = 17, b = 37, c = 2, 7669.65
a = 17, b = 37, c = 3, 7815.54
a = 17, b = 37, c = 5, 7918.41
a = 17, b = 37, c = 7, 7716.70
a = 17, b = 37, c = 11, 7739.95
a = 17, b = 37, c = 13, 7668.18
a = 17, b = 37, c = 23, 7754.73
a = 17, b = 37, c = 29, 7977.75
a = 17, b = 37, c = 31, 7802.86
a = 17, b = 37, c = 41, 7586.14
a = 17, b = 37, c = 43, 7555.19
a = 17, b = 37, c = 47, 7661.57
a = 17, b = 37, c = 53, 7946.95
a = 17, b = 41, c = 2, 7856.13
a = 17, b = 41, c = 5, 7654.80
a = 17, b = 41, c = 7, 7578.98
a = 17, b = 41, c = 11, 7893.84
a = 17, b = 41, c = 13, 7538.70
a = 17, b = 41, c = 19, 7851.38
a = 17, b = 41, c = 23, 7718.41
a = 17, b = 41, c = 37, 8048.66
a = 17, b = 41, c = 43, 7709.70
a = 17, b = 43, c = 2, 7880.62
a = 17, b = 43, c = 3, 7717.40
a = 17, b = 43, c = 5, 7990.27
a = 17, b = 43, c = 7, 7589.02
a = 17, b = 43, c = 11, 7597.03
a = 17, b = 43, c = 13, 7933.73
a = 17, b = 43, c = 23, 7822.22
a = 17, b = 43, c = 29, 7741.74
a = 17, b = 43, c = 31, 7834.12
a = 17, b = 43, c = 41, 7727.82
a = 17, b = 43, c = 47, 7824.71
a = 17, b = 43, c = 59, 7647.65
a = 17, b = 47, c = 2, 7823.70
a = 17, b = 47, c = 3, 7529.37
a = 17, b = 47, c = 5, 7374.24
a = 17, b = 47, c = 7, 7656.82
a = 17, b = 47, c = 11, 7871.99
a = 17, b = 47, c = 13, 7602.16
a = 17, b = 47, c = 19, 7686.06
a = 17, b = 47, c = 23, 7403.01
a = 17, b = 47, c = 29, 7847.57
a = 17, b = 47, c = 31, 7993.38
a = 17, b = 47, c = 37, 7662.58
a = 17, b = 47, c = 43, 7669.58
a = 17, b = 47, c = 53, 7711.65
a = 17, b = 47, c = 59, 7738.40
a = 17, b = 47, c = 61, 7761.10
a = 17, b = 53, c = 2, 7545.24
a = 17, b = 53, c = 3, 7666.31
a = 17, b = 53, c = 5, 7658.22
a = 17, b = 53, c = 7, 7986.07
a = 17, b = 53, c = 11, 7789.87
a = 17, b = 53, c = 13, 7713.36
a = 17, b = 53, c = 29, 7712.50
a = 17, b = 59, c = 2, 7630.85
a = 17, b = 59, c = 3, 7613.90
a = 17, b = 59, c = 5, 8047.58
a = 17, b = 59, c = 7, 8025.96
a = 17, b = 59, c = 11, 7969.27
a = 17, b = 61, c = 2, 7842.91
a = 17, b = 61, c = 3, 7872.61
a = 17, b = 61, c = 7, 7423.62
a = 19, b = 2, c = 3, 7812.42
a = 19, b = 2, c = 7, 8051.54
a = 19, b = 2, c = 11, 7811.34
a = 19, b = 2, c = 13, 7807.68
a = 19, b = 2, c = 17, 7589.48
a = 19, b = 2, c = 23, 7805.12
a = 19, b = 2, c = 29, 7736.61
a = 19, b = 2, c = 31, 7607.76
a = 19, b = 2, c = 37, 7686.45
a = 19, b = 2, c = 41, 7951.00
a = 19, b = 2, c = 47, 7583.11
a = 19, b = 2, c = 59, 7839.41
a = 19, b = 2, c = 61, 7905.82
a = 19, b = 3, c = 2, 7765.77
a = 19, b = 3, c = 5, 7951.85
a = 19, b = 3, c = 7, 7758.69
a = 19, b = 3, c = 11, 7772.38
a = 19, b = 3, c = 13, 7926.11
a = 19, b = 3, c = 17, 7597.65
a = 19, b = 3, c = 23, 7808.54
a = 19, b = 3, c = 29, 7964.14
a = 19, b = 3, c = 31, 7741.58
a = 19, b = 3, c = 37, 7630.00
a = 19, b = 3, c = 41, 7794.31
a = 19, b = 3, c = 43, 7717.71
a = 19, b = 3, c = 47, 7750.53
a = 19, b = 3, c = 53, 7889.25
a = 19, b = 3, c = 59, 7692.13
a = 19, b = 3, c = 61, 7690.81
a = 19, b = 5, c = 2, 7951.93
a = 19, b = 5, c = 3, 7684.35
a = 19, b = 5, c = 7, 8047.26
a = 19, b = 5, c = 11, 7937.47
a = 19, b = 5, c = 13, 7562.27
a = 19, b = 5, c = 17, 7490.80
a = 19, b = 5, c = 23, 7900.37
a = 19, b = 5, c = 29, 7732.72
a = 19, b = 5, c = 31, 7879.84
a = 19, b = 5, c = 37, 7841.20
a = 19, b = 5, c = 41, 7921.29
a = 19, b = 5, c = 43, 7820.75
a = 19, b = 5, c = 47, 7990.34
a = 19, b = 5, c = 53, 7732.80
a = 19, b = 5, c = 59, 7824.63
a = 19, b = 5, c = 61, 7701.23
a = 19, b = 7, c = 2, 7614.29
a = 19, b = 7, c = 3, 8004.42
a = 19, b = 7, c = 5, 7901.31
a = 19, b = 7, c = 11, 7703.71
a = 19, b = 7, c = 13, 7624.48
a = 19, b = 7, c = 17, 7691.58
a = 19, b = 7, c = 23, 7630.46
a = 19, b = 7, c = 29, 7684.74
a = 19, b = 7, c = 31, 7777.82
a = 19, b = 7, c = 37, 7604.10
a = 19, b = 7, c = 41, 7825.33
a = 19, b = 7, c = 43, 7803.95
a = 19, b = 7, c = 47, 7577.59
a = 19, b = 7, c = 53, 7724.71
a = 19, b = 7, c = 59, 7897.57
a = 19, b = 7, c = 61, 7577.35
a = 19, b = 11, c = 2, 7749.83
a = 19, b = 11, c = 3, 7964.60
a = 19, b = 11, c = 5, 7814.76
a = 19, b = 11, c = 7, 7889.41
a = 19, b = 11, c = 13, 7504.10
a = 19, b = 11, c = 17, 7717.63
a = 19, b = 11, c = 23, 7788.40
a = 19, b = 11, c = 31, 7660.87
a = 19, b = 11, c = 37, 7795.08
a = 19, b = 11, c = 41, 7675.80
a = 19, b = 11, c = 43, 7838.24
a = 19, b = 11, c = 47, 7737.77
a = 19, b = 11, c = 53, 7647.49
a = 19, b = 11, c = 59, 7840.57
a = 19, b = 11, c = 61, 7668.57
a = 19, b = 13, c = 3, 7798.97
a = 19, b = 13, c = 5, 7656.98
a = 19, b = 13, c = 7, 7647.57
a = 19, b = 13, c = 11, 7622.69
a = 19, b = 13, c = 17, 7723.00
a = 19, b = 13, c = 23, 7910.40
a = 19, b = 13, c = 29, 7652.24
a = 19, b = 13, c = 31, 7870.59
a = 19, b = 13, c = 37, 7827.04
a = 19, b = 13, c = 41, 7628.44
a = 19, b = 13, c = 43, 7644.15
a = 19, b = 13, c = 47, 7740.18
a = 19, b = 13, c = 53, 7804.26
a = 19, b = 13, c = 59, 7673.15
a = 19, b = 13, c = 61, 7817.25
a = 19, b = 17, c = 2, 8014.14
a = 19, b = 17, c = 3, 7799.28
a = 19, b = 17, c = 5, 7836.69
a = 19, b = 17, c = 7, 7598.50
a = 19, b = 17, c = 11, 7882.33
a = 19, b = 17, c = 13, 7564.05
a = 19, b = 17, c = 23, 7942.21
a = 19, b = 17, c = 29, 7887.39
a = 19, b = 17, c = 31, 7764.83
a = 19, b = 17, c = 37, 7735.05
a = 19, b = 17, c = 41, 7821.29
a = 19, b = 17, c = 43, 7941.28
a = 19, b = 17, c = 47, 7665.61
a = 19, b = 17, c = 53, 7751.93
a = 19, b = 17, c = 59, 7659.39
a = 19, b = 17, c = 61, 7674.71
a = 19, b = 23, c = 2, 7682.02
a = 19, b = 23, c = 3, 7674.55
a = 19, b = 23, c = 5, 7793.22
a = 19, b = 23, c = 7, 7520.97
a = 19, b = 23, c = 11, 7595.39
a = 19, b = 23, c = 13, 7597.65
a = 19, b = 23, c = 17, 7918.65
a = 19, b = 23, c = 29, 7862.19
a = 19, b = 23, c = 31, 7761.80
a = 19, b = 23, c = 37, 7634.35
a = 19, b = 23, c = 41, 7721.68
a = 19, b = 23, c = 43, 7738.71
a = 19, b = 23, c = 47, 7767.63
a = 19, b = 23, c = 53, 7912.27
a = 19, b = 23, c = 59, 7815.85
a = 19, b = 23, c = 61, 7801.46
a = 19, b = 29, c = 2, 7796.25
a = 19, b = 29, c = 3, 7805.74
a = 19, b = 29, c = 5, 7807.06
a = 19, b = 29, c = 7, 7731.16
a = 19, b = 29, c = 11, 7856.44
a = 19, b = 29, c = 13, 7728.29
a = 19, b = 29, c = 17, 7764.60
a = 19, b = 29, c = 23, 7695.86
a = 19, b = 29, c = 31, 7911.57
a = 19, b = 29, c = 37, 7559.31
a = 19, b = 29, c = 41, 8038.71
a = 19, b = 29, c = 43, 7968.03
a = 19, b = 29, c = 47, 7902.71
a = 19, b = 29, c = 53, 7826.58
a = 19, b = 29, c = 59, 6960.70
a = 19, b = 31, c = 2, 7610.71
a = 19, b = 31, c = 3, 7727.04
a = 19, b = 31, c = 5, 7738.86
a = 19, b = 31, c = 7, 7705.35
a = 19, b = 31, c = 11, 7879.30
a = 19, b = 31, c = 13, 7894.77
a = 19, b = 31, c = 17, 7635.28
a = 19, b = 31, c = 29, 7857.68
a = 19, b = 31, c = 37, 8022.15
a = 19, b = 37, c = 2, 7878.76
a = 19, b = 37, c = 3, 7909.70
a = 19, b = 37, c = 5, 7912.35
a = 19, b = 37, c = 7, 7946.25
a = 19, b = 37, c = 11, 8026.50
a = 19, b = 37, c = 13, 7729.38
a = 19, b = 37, c = 23, 7611.80
a = 19, b = 37, c = 29, 7700.06
a = 19, b = 37, c = 31, 7641.35
a = 19, b = 37, c = 41, 8068.80
a = 19, b = 37, c = 43, 7539.02
a = 19, b = 37, c = 47, 7617.09
a = 19, b = 41, c = 2, 7756.83
a = 19, b = 41, c = 3, 7653.87
a = 19, b = 41, c = 5, 7492.98
a = 19, b = 41, c = 7, 7610.79
a = 19, b = 41, c = 11, 7867.95
a = 19, b = 41, c = 13, 7749.36
a = 19, b = 41, c = 17, 7988.71
a = 19, b = 41, c = 23, 7669.42
a = 19, b = 41, c = 29, 7813.05
a = 19, b = 41, c = 31, 7750.92
a = 19, b = 41, c = 43, 7769.66
a = 19, b = 41, c = 59, 7393.45
a = 19, b = 43, c = 2, 7834.20
a = 19, b = 43, c = 5, 7873.16
a = 19, b = 43, c = 7, 7659.47
a = 19, b = 43, c = 11, 7680.93
a = 19, b = 43, c = 13, 7711.10
a = 19, b = 43, c = 17, 7703.64
a = 19, b = 43, c = 23, 7720.28
a = 19, b = 43, c = 29, 7852.86
a = 19, b = 43, c = 31, 8061.96
a = 19, b = 43, c = 37, 7541.66
a = 19, b = 43, c = 41, 7925.26
a = 19, b = 43, c = 59, 7776.65
a = 19, b = 43, c = 61, 7709.78
a = 19, b = 47, c = 2, 8046.72
a = 19, b = 47, c = 3, 7742.67
a = 19, b = 47, c = 5, 7704.26
a = 19, b = 47, c = 7, 7821.06
a = 19, b = 47, c = 11, 7975.26
a = 19, b = 47, c = 13, 7885.99
a = 19, b = 47, c = 17, 7771.91
a = 19, b = 47, c = 23, 7676.50
a = 19, b = 47, c = 29, 7819.27
a = 19, b = 47, c = 31, 7647.57
a = 19, b = 47, c = 37, 7684.27
a = 19, b = 47, c = 41, 7567.79
a = 19, b = 47, c = 43, 7916.63
a = 19, b = 47, c = 53, 7578.52
a = 19, b = 53, c = 2, 7976.89
a = 19, b = 53, c = 3, 7438.16
a = 19, b = 53, c = 5, 7895.63
a = 19, b = 53, c = 7, 7623.23
a = 19, b = 53, c = 11, 7852.47
a = 19, b = 53, c = 13, 7598.89
a = 19, b = 53, c = 23, 7735.13
a = 19, b = 59, c = 2, 8046.18
a = 19, b = 59, c = 3, 7764.99
a = 19, b = 59, c = 5, 8050.30
a = 19, b = 59, c = 7, 7760.64
a = 19, b = 59, c = 11, 7957.37
a = 19, b = 61, c = 2, 7809.08
a = 19, b = 61, c = 3, 7677.74
a = 19, b = 61, c = 5, 7817.63
a = 23, b = 2, c = 3, 7661.18
a = 23, b = 2, c = 5, 7641.43
a = 23, b = 2, c = 7, 7804.57
a = 23, b = 2, c = 11, 7863.44
a = 23, b = 2, c = 13, 7909.24
a = 23, b = 2, c = 17, 7675.95
a = 23, b = 2, c = 19, 7737.31
a = 23, b = 2, c = 29, 7832.18
a = 23, b = 2, c = 31, 7695.32
a = 23, b = 2, c = 37, 7630.31
a = 23, b = 2, c = 43, 7440.88
a = 23, b = 2, c = 47, 7677.28
a = 23, b = 2, c = 53, 7922.92
a = 23, b = 2, c = 59, 7885.37
a = 23, b = 3, c = 2, 7566.62
a = 23, b = 3, c = 5, 7847.81
a = 23, b = 3, c = 7, 7798.97
a = 23, b = 3, c = 11, 7694.31
a = 23, b = 3, c = 13, 7803.48
a = 23, b = 3, c = 17, 7613.12
a = 23, b = 3, c = 19, 7677.82
a = 23, b = 3, c = 29, 7876.81
a = 23, b = 3, c = 31, 7908.46
a = 23, b = 3, c = 37, 7755.11
a = 23, b = 3, c = 41, 7842.83
a = 23, b = 3, c = 43, 7992.21
a = 23, b = 3, c = 47, 7765.85
a = 23, b = 3, c = 53, 7881.87
a = 23, b = 3, c = 59, 7700.37
a = 23, b = 3, c = 61, 7830.15
a = 23, b = 5, c = 2, 7647.10
a = 23, b = 5, c = 3, 8007.68
a = 23, b = 5, c = 7, 7679.53
a = 23, b = 5, c = 11, 7632.72
a = 23, b = 5, c = 13, 7618.88
a = 23, b = 5, c = 17, 7592.75
a = 23, b = 5, c = 19, 7832.88
a = 23, b = 5, c = 29, 7729.06
a = 23, b = 5, c = 31, 7899.44
a = 23, b = 5, c = 37, 7914.76
a = 23, b = 5, c = 41, 7569.34
a = 23, b = 5, c = 43, 7653.32
a = 23, b = 5, c = 47, 7974.87
a = 23, b = 5, c = 53, 7811.26
a = 23, b = 5, c = 59, 7635.13
a = 23, b = 5, c = 61, 7941.59
a = 23, b = 7, c = 2, 7836.76
a = 23, b = 7, c = 3, 7841.04
a = 23, b = 7, c = 5, 7798.19
a = 23, b = 7, c = 11, 7912.66
a = 23, b = 7, c = 13, 7580.07
a = 23, b = 7, c = 17, 7716.23
a = 23, b = 7, c = 19, 7443.76
a = 23, b = 7, c = 29, 7941.59
a = 23, b = 7, c = 31, 7806.52
a = 23, b = 7, c = 37, 7884.20
a = 23, b = 7, c = 41, 7708.30
a = 23, b = 7, c = 43, 7793.61
a = 23, b = 7, c = 47, 7783.26
a = 23, b = 7, c = 53, 7875.65
a = 23, b = 7, c = 59, 7800.06
a = 23, b = 7, c = 61, 7775.25
a = 23, b = 11, c = 2, 7804.18
a = 23, b = 11, c = 3, 7939.64
a = 23, b = 11, c = 5, 7783.96
a = 23, b = 11, c = 7, 8055.59
a = 23, b = 11, c = 13, 7735.75
a = 23, b = 11, c = 17, 7894.00
a = 23, b = 11, c = 19, 7548.97
a = 23, b = 11, c = 29, 7814.99
a = 23, b = 11, c = 31, 7617.01
a = 23, b = 11, c = 37, 7503.40
a = 23, b = 11, c = 41, 7706.12
a = 23, b = 11, c = 43, 7767.63
a = 23, b = 11, c = 47, 7800.14
a = 23, b = 11, c = 53, 7666.54
a = 23, b = 11, c = 59, 7814.21
a = 23, b = 11, c = 61, 7731.63
a = 23, b = 13, c = 2, 7797.65
a = 23, b = 13, c = 3, 7797.81
a = 23, b = 13, c = 5, 8026.35
a = 23, b = 13, c = 7, 7718.64
a = 23, b = 13, c = 11, 8051.93
a = 23, b = 13, c = 17, 7512.34
a = 23, b = 13, c = 19, 7687.00
a = 23, b = 13, c = 29, 7661.02
a = 23, b = 13, c = 31, 7815.85
a = 23, b = 13, c = 37, 7659.78
a = 23, b = 13, c = 41, 7891.04
a = 23, b = 13, c = 43, 7966.24
a = 23, b = 13, c = 47, 7938.17
a = 23, b = 13, c = 53, 7646.79
a = 23, b = 13, c = 59, 7630.23
a = 23, b = 13, c = 61, 7738.08
a = 23, b = 17, c = 2, 7936.84
a = 23, b = 17, c = 3, 7694.15
a = 23, b = 17, c = 5, 7559.31
a = 23, b = 17, c = 7, 7910.09
a = 23, b = 17, c = 11, 7731.01
a = 23, b = 17, c = 13, 7903.09
a = 23, b = 17, c = 19, 7728.75
a = 23, b = 17, c = 29, 7799.98
a = 23, b = 17, c = 31, 7715.77
a = 23, b = 17, c = 37, 7988.48
a = 23, b = 17, c = 41, 7795.40
a = 23, b = 17, c = 43, 7784.35
a = 23, b = 17, c = 47, 7945.16
a = 23, b = 17, c = 53, 7818.96
a = 23, b = 17, c = 59, 7823.70
a = 23, b = 17, c = 61, 7927.20
a = 23, b = 19, c = 2, 7848.12
a = 23, b = 19, c = 3, 7690.88
a = 23, b = 19, c = 5, 7762.58
a = 23, b = 19, c = 7, 7816.78
a = 23, b = 19, c = 11, 7824.17
a = 23, b = 19, c = 13, 7888.32
a = 23, b = 19, c = 17, 7508.14
a = 23, b = 19, c = 29, 7838.16
a = 23, b = 19, c = 31, 7854.26
a = 23, b = 19, c = 37, 7812.27
a = 23, b = 19, c = 41, 7823.86
a = 23, b = 19, c = 43, 7787.46
a = 23, b = 19, c = 47, 7532.48
a = 23, b = 19, c = 53, 7760.09
a = 23, b = 19, c = 59, 7701.54
a = 23, b = 19, c = 61, 8018.34
a = 23, b = 29, c = 2, 7981.48
a = 23, b = 29, c = 3, 7571.29
a = 23, b = 29, c = 5, 7537.46
a = 23, b = 29, c = 7, 7891.59
a = 23, b = 29, c = 11, 7723.08
a = 23, b = 29, c = 13, 7821.06
a = 23, b = 29, c = 17, 7824.63
a = 23, b = 29, c = 19, 7681.94
a = 23, b = 29, c = 31, 7873.08
a = 23, b = 29, c = 37, 7764.76
a = 23, b = 29, c = 41, 7283.57
a = 23, b = 29, c = 43, 7430.38
a = 23, b = 29, c = 47, 7932.33
a = 23, b = 29, c = 53, 7869.42
a = 23, b = 29, c = 59, 7454.80
a = 23, b = 29, c = 61, 7892.60
a = 23, b = 31, c = 2, 7853.56
a = 23, b = 31, c = 3, 8045.40
a = 23, b = 31, c = 5, 7653.95
a = 23, b = 31, c = 7, 7906.05
a = 23, b = 31, c = 11, 7710.56
a = 23, b = 31, c = 13, 7823.31
a = 23, b = 31, c = 17, 7879.38
a = 23, b = 31, c = 29, 7558.38
a = 23, b = 31, c = 37, 7680.70
a = 23, b = 31, c = 53, 7923.78
a = 23, b = 37, c = 2, 7872.77
a = 23, b = 37, c = 3, 7771.29
a = 23, b = 37, c = 5, 7539.25
a = 23, b = 37, c = 7, 7809.16
a = 23, b = 37, c = 11, 7902.40
a = 23, b = 37, c = 17, 7556.05
a = 23, b = 37, c = 19, 7640.88
a = 23, b = 37, c = 29, 7749.52
a = 23, b = 37, c = 31, 7578.98
a = 23, b = 37, c = 41, 7842.52
a = 23, b = 37, c = 53, 7834.12
a = 23, b = 37, c = 59, 7903.17
a = 23, b = 41, c = 2, 7974.56
a = 23, b = 41, c = 3, 7916.55
a = 23, b = 41, c = 5, 7928.37
a = 23, b = 41, c = 7, 7927.28
a = 23, b = 41, c = 11, 7636.92
a = 23, b = 41, c = 13, 7662.66
a = 23, b = 41, c = 17, 7679.76
a = 23, b = 41, c = 19, 7959.08
a = 23, b = 41, c = 29, 7897.65
a = 23, b = 41, c = 31, 7575.87
a = 23, b = 41, c = 37, 7900.68
a = 23, b = 41, c = 47, 7566.39
a = 23, b = 41, c = 53, 8013.67
a = 23, b = 41, c = 61, 7971.06
a = 23, b = 43, c = 2, 7778.91
a = 23, b = 43, c = 3, 7512.11
a = 23, b = 43, c = 5, 7659.39
a = 23, b = 43, c = 7, 7835.52
a = 23, b = 43, c = 11, 7852.78
a = 23, b = 43, c = 13, 7752.47
a = 23, b = 43, c = 17, 7879.38
a = 23, b = 43, c = 19, 7696.48
a = 23, b = 43, c = 29, 7589.79
a = 23, b = 43, c = 31, 7827.28
a = 23, b = 47, c = 2, 7348.19
a = 23, b = 47, c = 3, 7764.83
a = 23, b = 47, c = 5, 7524.40
a = 23, b = 47, c = 7, 7532.17
a = 23, b = 47, c = 11, 7903.02
a = 23, b = 47, c = 13, 7830.62
a = 23, b = 47, c = 17, 7949.36
a = 23, b = 47, c = 19, 7862.74
a = 23, b = 47, c = 29, 7124.24
a = 23, b = 47, c = 31, 7844.38
a = 23, b = 53, c = 2, 7661.33
a = 23, b = 53, c = 5, 7976.19
a = 23, b = 53, c = 7, 7754.88
a = 23, b = 53, c = 11, 7591.66
a = 23, b = 53, c = 13, 7765.46
a = 23, b = 53, c = 19, 7916.47
a = 23, b = 59, c = 2, 7911.18
a = 23, b = 59, c = 3, 7942.13
a = 23, b = 59, c = 5, 7990.03
a = 23, b = 61, c = 2, 7653.64
a = 23, b = 61, c = 3, 7725.64
a = 23, b = 61, c = 5, 7639.09
a = 29, b = 2, c = 3, 7740.03
a = 29, b = 2, c = 5, 7739.48
a = 29, b = 2, c = 7, 7888.94
a = 29, b = 2, c = 11, 7991.59
a = 29, b = 2, c = 13, 8024.17
a = 29, b = 2, c = 17, 7590.88
a = 29, b = 2, c = 19, 7733.65
a = 29, b = 2, c = 23, 7684.43
a = 29, b = 2, c = 37, 7874.71
a = 29, b = 2, c = 41, 7774.56
a = 29, b = 2, c = 43, 7850.76
a = 29, b = 2, c = 47, 7762.11
a = 29, b = 2, c = 53, 7948.20
a = 29, b = 2, c = 59, 7719.58
a = 29, b = 2, c = 61, 7972.15
a = 29, b = 3, c = 2, 7684.04
a = 29, b = 3, c = 5, 7782.25
a = 29, b = 3, c = 7, 7701.93
a = 29, b = 3, c = 11, 7527.74
a = 29, b = 3, c = 13, 7903.87
a = 29, b = 3, c = 17, 7743.22
a = 29, b = 3, c = 19, 7974.48
a = 29, b = 3, c = 23, 7686.06
a = 29, b = 3, c = 31, 7839.41
a = 29, b = 3, c = 37, 7579.45
a = 29, b = 3, c = 41, 7867.09
a = 29, b = 3, c = 43, 7687.31
a = 29, b = 3, c = 47, 7750.06
a = 29, b = 3, c = 53, 7620.28
a = 29, b = 3, c = 59, 7669.65
a = 29, b = 3, c = 61, 7877.59
